NOTE: Annotations and predictions are separated with three blanks if annotations take up more than 75 characters
      Annotations/predictions are separated from other annotations/predictions by semi-colon

PREDICTIONS OF LABELLED DATA

GENE           ANNOTATION                                                                 PREDICTIONS
U52155         GO:0006810: transport;                                                     GO:0006810: transport;
U70660         GO:0006810: transport;                                                     GO:0006366: transcription from Pol II promoter;GO:0006810: transport;
M36803         GO:0006810: transport;                                                     GO:0006810: transport;
U70867         GO:0006810: transport;                                                     GO:0006810: transport;GO:0007242: intracellular signaling cascade;
U09210         GO:0006810: transport;                                                     GO:0006810: transport;
L06133         GO:0006810: transport;                                                     GO:0006810: transport;
U39196         GO:0006810: transport;                                                     GO:0006810: transport;
X71490         GO:0006810: transport;                                                     GO:0006468: protein phosphorylation;GO:0007399: neurogenesis;GO:0006810: transport;GO:0006091: energy pathways;GO:0005975: carbohydrate metabolism;
D49400         GO:0006810: transport;                                                     GO:0006259: DNA metabolism;GO:0006810: transport;GO:0000278: mitotic cell cycle;
X01060         GO:0006810: transport;                                                     GO:0007267: cell-cell signaling;GO:0006810: transport;
M81182         GO:0006810: transport;                                                     GO:0000074: cell cycle control;GO:0006810: transport;
D87969         GO:0006810: transport;GO:0005975: carbohydrate metabolism;GO:0006411: protein metabolism and modification;   GO:0006810: transport;GO:0006411: protein metabolism and modification;GO:0005975: carbohydrate metabolism;
X58521         GO:0006810: transport;                                                     GO:0006810: transport;
X58528         GO:0006810: transport;                                                     GO:0006810: transport;GO:0005975: carbohydrate metabolism;
U21943         GO:0006810: transport;                                                     GO:0006810: transport;GO:0006091: energy pathways;
U53347         GO:0006810: transport;                                                     GO:0006810: transport;
Y08612         GO:0006810: transport;                                                     GO:0006810: transport;
Y08614         GO:0006810: transport;                                                     GO:0006810: transport;GO:0000278: mitotic cell cycle;
D88146         GO:0006810: transport;GO:0005975: carbohydrate metabolism;                 GO:0006810: transport;GO:0007242: intracellular signaling cascade;GO:0005975: carbohydrate metabolism;
L35249         GO:0006810: transport;                                                     GO:0006810: transport;
J05068         GO:0006810: transport;                                                     GO:0007166: cell surface receptor linked signal transduction;GO:0006810: transport;GO:0006928: cell motility;GO:0006959: humoral defense mechanism;
U62966         GO:0006810: transport;                                                     GO:0006810: transport;
M69238         GO:0006810: transport;                                                     GO:0007602: phototransduction;GO:0006810: transport;GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;
M10942         GO:0006810: transport;                                                     
L37347         GO:0006810: transport;                                                     GO:0006810: transport;
D32002         GO:0006810: transport;GO:0006411: protein metabolism and modification;GO:0006412: protein biosynthesis;   GO:0006810: transport;GO:0006412: protein biosynthesis;
U63455         GO:0006810: transport;GO:0005975: carbohydrate metabolism;                 GO:0006810: transport;GO:0005975: carbohydrate metabolism;
U72761         GO:0006810: transport;                                                     GO:0006810: transport;
U73191         GO:0006810: transport;                                                     GO:0006810: transport;GO:0006508: proteolysis and peptidolysis;
U83461         GO:0006810: transport;                                                     GO:0006810: transport;
L27050         GO:0006810: transport;GO:0006629: lipid metabolism;                        GO:0007166: cell surface receptor linked signal transduction;GO:0007602: phototransduction;GO:0006810: transport;GO:0006629: lipid metabolism;
J02876         GO:0006810: transport;                                                     GO:0006259: DNA metabolism;GO:0006810: transport;
X89066         GO:0006810: transport;                                                     GO:0006810: transport;
L02648         GO:0006810: transport;                                                     GO:0006259: DNA metabolism;GO:0006810: transport;GO:0006091: energy pathways;
X17622         GO:0006810: transport;                                                     GO:0006366: transcription from Pol II promoter;GO:0006810: transport;
M62762         GO:0006810: transport;                                                     GO:0000074: cell cycle control;GO:0006915: apoptosis;GO:0006810: transport;GO:0006508: proteolysis and peptidolysis;
Y12393         GO:0006810: transport;                                                     GO:0006810: transport;
Y12394         GO:0006810: transport;GO:0006411: protein metabolism and modification;     GO:0006810: transport;GO:0006411: protein metabolism and modification;
U16861         GO:0006810: transport;                                                     GO:0007166: cell surface receptor linked signal transduction;GO:0007602: phototransduction;GO:0007155: cell adhesion;GO:0006810: transport;GO:0007601: vision;
D10704         GO:0006810: transport;GO:0006629: lipid metabolism;                        GO:0006810: transport;GO:0006629: lipid metabolism;
Y13247         GO:0006810: transport;                                                     GO:0006810: transport;GO:0006629: lipid metabolism;
J03077         GO:0006810: transport;GO:0006629: lipid metabolism;                        GO:0006810: transport;GO:0006629: lipid metabolism;
U84720         GO:0006810: transport;                                                     GO:0006810: transport;GO:0006629: lipid metabolism;GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;GO:0006412: protein biosynthesis;
U17566         GO:0006810: transport;                                                     GO:0006810: transport;
J03810         GO:0006810: transport;GO:0005975: carbohydrate metabolism;                 GO:0006810: transport;GO:0005975: carbohydrate metabolism;
D42063         GO:0006810: transport;                                                     GO:0000074: cell cycle control;GO:0006810: transport;
AF005361       GO:0006810: transport;                                                     GO:0006259: DNA metabolism;GO:0006810: transport;GO:0007582: physiological processes;
L09234         GO:0006810: transport;                                                     GO:0000074: cell cycle control;GO:0006810: transport;GO:0007582: physiological processes;GO:0006928: cell motility;GO:0006629: lipid metabolism;
U76366         GO:0006810: transport;GO:0007498: mesoderm development;                    GO:0006810: transport;GO:0006959: humoral defense mechanism;GO:0007498: mesoderm development;
U18244         GO:0006810: transport;GO:0007267: cell-cell signaling;                     GO:0007267: cell-cell signaling;GO:0006810: transport;
J05682         GO:0006810: transport;                                                     GO:0006810: transport;
L09604         GO:0006810: transport;                                                     GO:0006810: transport;
X76228         GO:0006810: transport;                                                     GO:0006810: transport;
U41815         GO:0006810: transport;GO:0007048: oncogenesis;                             GO:0006810: transport;GO:0007048: oncogenesis;
K01383         GO:0006810: transport;                                                     GO:0007399: neurogenesis;GO:0006810: transport;GO:0007601: vision;
X93036         GO:0006810: transport;                                                     GO:0006810: transport;
L38951         GO:0006810: transport;                                                     GO:0007399: neurogenesis;GO:0006810: transport;
X04347         GO:0006810: transport;                                                     GO:0008283: cell proliferation;GO:0007267: cell-cell signaling;GO:0006810: transport;GO:0007048: oncogenesis;GO:0006412: protein biosynthesis;
D82326         GO:0006810: transport;                                                     GO:0006810: transport;
S68287         GO:0006810: transport;GO:0006629: lipid metabolism;                        GO:0006810: transport;GO:0006629: lipid metabolism;
M94055         GO:0006810: transport;                                                     GO:0006810: transport;
Z25535         GO:0006810: transport;                                                     GO:0006810: transport;
U05321         GO:0006810: transport;                                                     GO:0006810: transport;
M54995         GO:0006810: transport;                                                     GO:0008283: cell proliferation;GO:0006810: transport;
L31801         GO:0006810: transport;                                                     GO:0006810: transport;
M85217         GO:0006810: transport;                                                     GO:0006810: transport;GO:0007582: physiological processes;
X95404         GO:0006810: transport;GO:0007242: intracellular signaling cascade;         GO:0006810: transport;GO:0007242: intracellular signaling cascade;
U33632         GO:0006810: transport;                                                     GO:0006810: transport;
M20681         GO:0006810: transport;GO:0005975: carbohydrate metabolism;                 
U00947         GO:0006810: transport;                                                     GO:0006810: transport;
U19252         GO:0006810: transport;                                                     GO:0006259: DNA metabolism;GO:0006810: transport;GO:0000278: mitotic cell cycle;
M20747         GO:0006810: transport;GO:0005975: carbohydrate metabolism;                 GO:0006810: transport;GO:0005975: carbohydrate metabolism;
D84454         GO:0006810: transport;GO:0005975: carbohydrate metabolism;                 GO:0006810: transport;GO:0007582: physiological processes;GO:0005975: carbohydrate metabolism;
AB002533       GO:0006810: transport;                                                     GO:0006810: transport;
M60450         GO:0006810: transport;                                                     GO:0006810: transport;GO:0006091: energy pathways;GO:0006508: proteolysis and peptidolysis;
D89052         GO:0006810: transport;                                                     GO:0006810: transport;
U90065         GO:0006810: transport;                                                     GO:0008283: cell proliferation;GO:0007166: cell surface receptor linked signal transduction;GO:0007267: cell-cell signaling;GO:0006810: transport;GO:0006928: cell motility;
U90544         GO:0006810: transport;                                                     GO:0007602: phototransduction;GO:0006810: transport;GO:0007601: vision;GO:0006411: protein metabolism and modification;
U26710         GO:0006810: transport;GO:0007048: oncogenesis;                             GO:0006810: transport;GO:0006629: lipid metabolism;GO:0007048: oncogenesis;
S72503         GO:0006810: transport;                                                     GO:0006810: transport;
U26712         GO:0006810: transport;GO:0007048: oncogenesis;                             GO:0007602: phototransduction;
X96969         GO:0006810: transport;                                                     GO:0006810: transport;
L10338         GO:0006810: transport;GO:0007267: cell-cell signaling;                     GO:0007267: cell-cell signaling;GO:0006810: transport;
D14689         GO:0006810: transport;GO:0007048: oncogenesis;                             GO:0006810: transport;GO:0007048: oncogenesis;
M64676         GO:0006810: transport;GO:0007267: cell-cell signaling;                     GO:0007267: cell-cell signaling;GO:0006810: transport;GO:0006928: cell motility;
M55531         GO:0006810: transport;GO:0005975: carbohydrate metabolism;                 GO:0006810: transport;GO:0005975: carbohydrate metabolism;
X06482         GO:0006810: transport;                                                     GO:0006810: transport;
L14269         GO:0006810: transport;                                                     GO:0006810: transport;GO:0006411: protein metabolism and modification;
X79536         GO:0006810: transport;                                                     GO:0006810: transport;GO:0006411: protein metabolism and modification;
X79882         GO:0006810: transport;                                                     GO:0006810: transport;GO:0006411: protein metabolism and modification;
M27819         GO:0006810: transport;                                                     GO:0006259: DNA metabolism;GO:0006810: transport;
X53961         GO:0006810: transport;GO:0006959: humoral defense mechanism;               GO:0006810: transport;GO:0006959: humoral defense mechanism;
D16469         GO:0006810: transport;                                                     GO:0006259: DNA metabolism;GO:0006810: transport;GO:0007498: mesoderm development;
U78793         GO:0006810: transport;                                                     GO:0008283: cell proliferation;GO:0007267: cell-cell signaling;GO:0007155: cell adhesion;GO:0006810: transport;GO:0007498: mesoderm development;
X80198         GO:0006810: transport;GO:0006629: lipid metabolism;                        GO:0006810: transport;GO:0006629: lipid metabolism;
L14595         GO:0006810: transport;                                                     GO:0006810: transport;
U60276         GO:0006810: transport;                                                     GO:0006810: transport;GO:0007582: physiological processes;GO:0006411: protein metabolism and modification;
U35735         GO:0006810: transport;                                                     GO:0006810: transport;
X07315         GO:0006810: transport;                                                     GO:0006810: transport;
X66397         GO:0006810: transport;                                                     GO:0006468: protein phosphorylation;GO:0006810: transport;GO:0005975: carbohydrate metabolism;
U60319         GO:0006810: transport;GO:0006411: protein metabolism and modification;     GO:0006411: protein metabolism and modification;
D50312         GO:0006810: transport;                                                     GO:0000074: cell cycle control;GO:0006259: DNA metabolism;GO:0006810: transport;GO:0000278: mitotic cell cycle;
Z49835         GO:0006810: transport;                                                     GO:0006810: transport;
L77701         GO:0006810: transport;GO:0006091: energy pathways;                         GO:0006810: transport;GO:0006091: energy pathways;
L05568         GO:0006810: transport;GO:0007267: cell-cell signaling;                     GO:0007267: cell-cell signaling;GO:0006810: transport;
M57609         GO:0006810: transport;GO:0006366: transcription from Pol II promoter;      GO:0006366: transcription from Pol II promoter;GO:0006810: transport;
U28249         GO:0006810: transport;                                                     GO:0006810: transport;GO:0007048: oncogenesis;
D26443         GO:0006810: transport;GO:0007267: cell-cell signaling;                     GO:0007267: cell-cell signaling;GO:0006810: transport;
D50582         GO:0006810: transport;                                                     GO:0006468: protein phosphorylation;GO:0006810: transport;GO:0006928: cell motility;
U80073         GO:0006810: transport;                                                     GO:0006810: transport;GO:0006411: protein metabolism and modification;
U14528         GO:0006810: transport;                                                     GO:0006810: transport;
K03195         GO:0006810: transport;                                                     GO:0006810: transport;
Z73903         GO:0006810: transport;                                                     GO:0006259: DNA metabolism;GO:0006810: transport;
U08471         GO:0006810: transport;                                                     GO:0006955: immune response;GO:0000074: cell cycle control;GO:0006810: transport;GO:0006508: proteolysis and peptidolysis;
U08989         GO:0006810: transport;GO:0007267: cell-cell signaling;                     GO:0007267: cell-cell signaling;GO:0006810: transport;
U81375         GO:0006810: transport;                                                     GO:0006810: transport;
X13766         GO:0006810: transport;                                                     
X67155         GO:0000278: mitotic cell cycle;                                            GO:0000074: cell cycle control;GO:0000278: mitotic cell cycle;
Z15005         GO:0000278: mitotic cell cycle;                                            GO:0000074: cell cycle control;GO:0000278: mitotic cell cycle;
U03270         GO:0000278: mitotic cell cycle;                                            GO:0007267: cell-cell signaling;GO:0000278: mitotic cell cycle;
L36983         GO:0000278: mitotic cell cycle;                                            GO:0000278: mitotic cell cycle;
U37426         GO:0000278: mitotic cell cycle;                                            GO:0000278: mitotic cell cycle;
X89416         GO:0000278: mitotic cell cycle;GO:0006411: protein metabolism and modification;   GO:0000278: mitotic cell cycle;GO:0006411: protein metabolism and modification;
X92972         GO:0000278: mitotic cell cycle;GO:0006411: protein metabolism and modification;   GO:0007602: phototransduction;
S78271         GO:0000278: mitotic cell cycle;                                            GO:0006259: DNA metabolism;GO:0000278: mitotic cell cycle;
X85137         GO:0000278: mitotic cell cycle;                                            GO:0006366: transcription from Pol II promoter;GO:0000278: mitotic cell cycle;
L07956         GO:0006091: energy pathways;GO:0005975: carbohydrate metabolism;           GO:0007155: cell adhesion;GO:0006091: energy pathways;GO:0005975: carbohydrate metabolism;
L16842         GO:0006091: energy pathways;                                               GO:0006928: cell motility;GO:0006091: energy pathways;
L21936         GO:0006091: energy pathways;                                               GO:0008283: cell proliferation;GO:0006091: energy pathways;GO:0007048: oncogenesis;
L07033         GO:0006091: energy pathways;                                               GO:0006091: energy pathways;
U07559         GO:0006091: energy pathways;                                               GO:0006091: energy pathways;GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;
M37104         GO:0006091: energy pathways;                                               GO:0006091: energy pathways;
D90086         GO:0006091: energy pathways;GO:0005975: carbohydrate metabolism;           GO:0006091: energy pathways;GO:0005975: carbohydrate metabolism;
J04501         GO:0006091: energy pathways;GO:0005975: carbohydrate metabolism;           GO:0006091: energy pathways;GO:0005975: carbohydrate metabolism;
X16560         GO:0006091: energy pathways;                                               GO:0006091: energy pathways;GO:0007242: intracellular signaling cascade;
M90516         GO:0006091: energy pathways;GO:0005975: carbohydrate metabolism;           GO:0006091: energy pathways;GO:0005975: carbohydrate metabolism;
D26535         GO:0006091: energy pathways;                                               GO:0006091: energy pathways;
Y00764         GO:0006091: energy pathways;                                               GO:0006091: energy pathways;
L07077         GO:0006091: energy pathways;                                               GO:0006091: energy pathways;
M18185         GO:0006091: energy pathways;                                               GO:0006091: energy pathways;
L33801         GO:0006091: energy pathways;GO:0005975: carbohydrate metabolism;           GO:0006091: energy pathways;GO:0005975: carbohydrate metabolism;
D13900         GO:0006091: energy pathways;GO:0006629: lipid metabolism;                  GO:0006091: energy pathways;GO:0006629: lipid metabolism;
L34035         GO:0006091: energy pathways;GO:0005975: carbohydrate metabolism;           GO:0006091: energy pathways;GO:0005975: carbohydrate metabolism;
U24183         GO:0006091: energy pathways;GO:0005975: carbohydrate metabolism;           GO:0006091: energy pathways;GO:0005975: carbohydrate metabolism;
M91432         GO:0006091: energy pathways;GO:0006629: lipid metabolism;                  GO:0006091: energy pathways;GO:0006629: lipid metabolism;
U90915         GO:0006091: energy pathways;                                               GO:0008283: cell proliferation;GO:0007166: cell surface receptor linked signal transduction;GO:0006091: energy pathways;GO:0007048: oncogenesis;
X84908         GO:0006091: energy pathways;GO:0005975: carbohydrate metabolism;           GO:0006091: energy pathways;GO:0005975: carbohydrate metabolism;
U57877         GO:0006091: energy pathways;                                               GO:0006091: energy pathways;GO:0007048: oncogenesis;
D16562         GO:0006091: energy pathways;                                               GO:0006091: energy pathways;
D10523         GO:0006091: energy pathways;                                               GO:0000074: cell cycle control;GO:0006091: energy pathways;
X70811         GO:0006091: energy pathways;GO:0005975: carbohydrate metabolism;GO:0006629: lipid metabolism;GO:0007166: cell surface receptor linked signal transduction;   GO:0007166: cell surface receptor linked signal transduction;GO:0006091: energy pathways;GO:0006629: lipid metabolism;GO:0005975: carbohydrate metabolism;
M75126         GO:0006091: energy pathways;GO:0005975: carbohydrate metabolism;           GO:0006091: energy pathways;GO:0005975: carbohydrate metabolism;
D45371         GO:0006091: energy pathways;                                               GO:0007166: cell surface receptor linked signal transduction;GO:0006091: energy pathways;
L02932         GO:0006091: energy pathways;GO:0006366: transcription from Pol II promoter;GO:0006629: lipid metabolism;   GO:0006366: transcription from Pol II promoter;GO:0000278: mitotic cell cycle;GO:0006091: energy pathways;GO:0006629: lipid metabolism;
U01120         GO:0006091: energy pathways;GO:0005975: carbohydrate metabolism;           GO:0007399: neurogenesis;GO:0006091: energy pathways;GO:0005975: carbohydrate metabolism;
X64330         GO:0006091: energy pathways;                                               GO:0006091: energy pathways;GO:0006959: humoral defense mechanism;GO:0005975: carbohydrate metabolism;
U01157         GO:0006091: energy pathways;GO:0007166: cell surface receptor linked signal transduction;   GO:0007166: cell surface receptor linked signal transduction;GO:0006810: transport;GO:0006091: energy pathways;
U16660         GO:0006091: energy pathways;GO:0006629: lipid metabolism;                  GO:0007155: cell adhesion;GO:0006091: energy pathways;GO:0006629: lipid metabolism;GO:0005975: carbohydrate metabolism;
D43638         GO:0006091: energy pathways;                                               GO:0006091: energy pathways;GO:0006629: lipid metabolism;
X13238         GO:0006091: energy pathways;                                               GO:0006955: immune response;GO:0007166: cell surface receptor linked signal transduction;GO:0006091: energy pathways;
Z35093         GO:0006091: energy pathways;GO:0006411: protein metabolism and modification;   GO:0006091: energy pathways;GO:0006411: protein metabolism and modification;
S69189         GO:0006091: energy pathways;GO:0006629: lipid metabolism;                  GO:0006468: protein phosphorylation;GO:0006091: energy pathways;GO:0006629: lipid metabolism;
U47025         GO:0006091: energy pathways;GO:0005975: carbohydrate metabolism;           GO:0006091: energy pathways;GO:0005975: carbohydrate metabolism;
X78706         GO:0006091: energy pathways;GO:0006629: lipid metabolism;                  GO:0006091: energy pathways;GO:0006629: lipid metabolism;
M26730         GO:0006091: energy pathways;                                               GO:0006366: transcription from Pol II promoter;GO:0007155: cell adhesion;GO:0006091: energy pathways;
X73874         GO:0006091: energy pathways;GO:0005975: carbohydrate metabolism;           GO:0006091: energy pathways;GO:0005975: carbohydrate metabolism;
U17886         GO:0006091: energy pathways;                                               GO:0006955: immune response;GO:0006091: energy pathways;
U12778         GO:0006091: energy pathways;GO:0006629: lipid metabolism;                  GO:0006091: energy pathways;GO:0006629: lipid metabolism;
S70004         GO:0006091: energy pathways;GO:0005975: carbohydrate metabolism;           GO:0006091: energy pathways;GO:0005975: carbohydrate metabolism;
D43682         GO:0006091: energy pathways;GO:0006629: lipid metabolism;                  GO:0006091: energy pathways;GO:0006629: lipid metabolism;GO:0006508: proteolysis and peptidolysis;
X04011         GO:0006091: energy pathways;GO:0006959: humoral defense mechanism;         GO:0006091: energy pathways;GO:0006959: humoral defense mechanism;
M23668         GO:0006091: energy pathways;GO:0006629: lipid metabolism;                  GO:0006259: DNA metabolism;GO:0006091: energy pathways;GO:0006629: lipid metabolism;
U62961         GO:0006091: energy pathways;                                               GO:0006091: energy pathways;
M22348         GO:0006091: energy pathways;                                               GO:0006091: energy pathways;
D31766         GO:0006091: energy pathways;GO:0005975: carbohydrate metabolism;           GO:0006091: energy pathways;GO:0005975: carbohydrate metabolism;
D00726         GO:0006091: energy pathways;                                               GO:0006091: energy pathways;GO:0006629: lipid metabolism;GO:0005975: carbohydrate metabolism;
U40490         GO:0006091: energy pathways;                                               GO:0007267: cell-cell signaling;GO:0006091: energy pathways;
X14813         GO:0006091: energy pathways;                                               GO:0007166: cell surface receptor linked signal transduction;GO:0007602: phototransduction;GO:0006091: energy pathways;
X80497         GO:0006091: energy pathways;GO:0005975: carbohydrate metabolism;GO:0006411: protein metabolism and modification;   GO:0006366: transcription from Pol II promoter;GO:0006091: energy pathways;GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;
X80590         GO:0006091: energy pathways;GO:0005975: carbohydrate metabolism;           GO:0006091: energy pathways;GO:0005975: carbohydrate metabolism;
U30255         GO:0006091: energy pathways;GO:0005975: carbohydrate metabolism;           GO:0006091: energy pathways;GO:0005975: carbohydrate metabolism;
X80695         GO:0006091: energy pathways;GO:0006411: protein metabolism and modification;   GO:0006091: energy pathways;GO:0006411: protein metabolism and modification;GO:0005975: carbohydrate metabolism;
M83186         GO:0006091: energy pathways;                                               GO:0006091: energy pathways;
U59309         GO:0006091: energy pathways;                                               GO:0006091: energy pathways;
U80040         GO:0006091: energy pathways;                                               GO:0006915: apoptosis;GO:0006091: energy pathways;GO:0006629: lipid metabolism;
J04973         GO:0006091: energy pathways;                                               GO:0007582: physiological processes;GO:0006091: energy pathways;
X15341         GO:0006091: energy pathways;                                               GO:0006091: energy pathways;GO:0006411: protein metabolism and modification;GO:0006959: humoral defense mechanism;
U43944         GO:0006091: energy pathways;GO:0005975: carbohydrate metabolism;           GO:0006091: energy pathways;GO:0005975: carbohydrate metabolism;
U68111         GO:0006091: energy pathways;                                               GO:0008283: cell proliferation;GO:0006366: transcription from Pol II promoter;GO:0007267: cell-cell signaling;GO:0006091: energy pathways;
U09813         GO:0006091: energy pathways;                                               GO:0006091: energy pathways;
M83308         GO:0006091: energy pathways;                                               GO:0007155: cell adhesion;GO:0006091: energy pathways;GO:0006411: protein metabolism and modification;
M94065         GO:0006091: energy pathways;                                               GO:0000074: cell cycle control;GO:0006091: energy pathways;
M15656         GO:0006091: energy pathways;GO:0005975: carbohydrate metabolism;           GO:0006928: cell motility;GO:0006091: energy pathways;GO:0005975: carbohydrate metabolism;
M29932         GO:0006091: energy pathways;GO:0005975: carbohydrate metabolism;GO:0006629: lipid metabolism;GO:0007166: cell surface receptor linked signal transduction;   GO:0007166: cell surface receptor linked signal transduction;GO:0006091: energy pathways;GO:0006629: lipid metabolism;GO:0005975: carbohydrate metabolism;
X99894         GO:0006091: energy pathways;                                               GO:0007582: physiological processes;GO:0006091: energy pathways;GO:0006959: humoral defense mechanism;GO:0005975: carbohydrate metabolism;
U48405         GO:0007166: cell surface receptor linked signal transduction;              GO:0007166: cell surface receptor linked signal transduction;GO:0007602: phototransduction;GO:0007601: vision;GO:0007498: mesoderm development;
M88461         GO:0007166: cell surface receptor linked signal transduction;              GO:0007166: cell surface receptor linked signal transduction;GO:0007399: neurogenesis;GO:0007582: physiological processes;GO:0007498: mesoderm development;
U18548         GO:0007166: cell surface receptor linked signal transduction;              GO:0008283: cell proliferation;GO:0007166: cell surface receptor linked signal transduction;
U18549         GO:0007166: cell surface receptor linked signal transduction;              GO:0007166: cell surface receptor linked signal transduction;GO:0007582: physiological processes;
U27655         GO:0007166: cell surface receptor linked signal transduction;GO:0007242: intracellular signaling cascade;   GO:0007166: cell surface receptor linked signal transduction;GO:0007242: intracellular signaling cascade;GO:0007498: mesoderm development;
U18550         GO:0007166: cell surface receptor linked signal transduction;              GO:0008283: cell proliferation;GO:0007166: cell surface receptor linked signal transduction;
U27768         GO:0007166: cell surface receptor linked signal transduction;GO:0007242: intracellular signaling cascade;   GO:0007166: cell surface receptor linked signal transduction;GO:0007267: cell-cell signaling;GO:0007242: intracellular signaling cascade;
X77748         GO:0007166: cell surface receptor linked signal transduction;GO:0007267: cell-cell signaling;   GO:0006468: protein phosphorylation;GO:0007166: cell surface receptor linked signal transduction;GO:0007267: cell-cell signaling;
U49516         GO:0007166: cell surface receptor linked signal transduction;GO:0007267: cell-cell signaling;   GO:0007166: cell surface receptor linked signal transduction;GO:0007267: cell-cell signaling;GO:0007155: cell adhesion;
L32831         GO:0007166: cell surface receptor linked signal transduction;              GO:0007166: cell surface receptor linked signal transduction;GO:0007602: phototransduction;GO:0007242: intracellular signaling cascade;GO:0007498: mesoderm development;
M89955         GO:0007166: cell surface receptor linked signal transduction;GO:0007267: cell-cell signaling;   GO:0007166: cell surface receptor linked signal transduction;GO:0007267: cell-cell signaling;
U50146         GO:0007166: cell surface receptor linked signal transduction;              GO:0007166: cell surface receptor linked signal transduction;GO:0007155: cell adhesion;
J03260         GO:0007166: cell surface receptor linked signal transduction;              GO:0007166: cell surface receptor linked signal transduction;GO:0007267: cell-cell signaling;
U19487         GO:0007166: cell surface receptor linked signal transduction;              GO:0006915: apoptosis;GO:0006366: transcription from Pol II promoter;GO:0007166: cell surface receptor linked signal transduction;
L41147         GO:0007166: cell surface receptor linked signal transduction;GO:0007267: cell-cell signaling;   GO:0007166: cell surface receptor linked signal transduction;GO:0007267: cell-cell signaling;
U92457         GO:0007166: cell surface receptor linked signal transduction;GO:0007267: cell-cell signaling;   GO:0007166: cell surface receptor linked signal transduction;GO:0007267: cell-cell signaling;
U92458         GO:0007166: cell surface receptor linked signal transduction;GO:0007267: cell-cell signaling;   GO:0007166: cell surface receptor linked signal transduction;GO:0007267: cell-cell signaling;
U92459         GO:0007166: cell surface receptor linked signal transduction;GO:0007601: vision;GO:0007267: cell-cell signaling;   GO:0007166: cell surface receptor linked signal transduction;GO:0007267: cell-cell signaling;GO:0007601: vision;
U02609         GO:0007166: cell surface receptor linked signal transduction;              GO:0007166: cell surface receptor linked signal transduction;
D63482         GO:0007166: cell surface receptor linked signal transduction;              GO:0006955: immune response;GO:0007166: cell surface receptor linked signal transduction;GO:0007582: physiological processes;
S68874         GO:0007166: cell surface receptor linked signal transduction;              GO:0007166: cell surface receptor linked signal transduction;GO:0007601: vision;GO:0006411: protein metabolism and modification;
U94320         GO:0007166: cell surface receptor linked signal transduction;              GO:0007166: cell surface receptor linked signal transduction;
D85376         GO:0007166: cell surface receptor linked signal transduction;              GO:0007166: cell surface receptor linked signal transduction;
M91467         GO:0007166: cell surface receptor linked signal transduction;GO:0007267: cell-cell signaling;   GO:0007166: cell surface receptor linked signal transduction;GO:0007267: cell-cell signaling;
M36429         GO:0007166: cell surface receptor linked signal transduction;              GO:0007166: cell surface receptor linked signal transduction;GO:0006959: humoral defense mechanism;
X80763         GO:0007166: cell surface receptor linked signal transduction;GO:0007267: cell-cell signaling;   GO:0007166: cell surface receptor linked signal transduction;GO:0007267: cell-cell signaling;
X80818         GO:0007166: cell surface receptor linked signal transduction;GO:0007267: cell-cell signaling;   GO:0007166: cell surface receptor linked signal transduction;GO:0007267: cell-cell signaling;
M36430         GO:0007166: cell surface receptor linked signal transduction;GO:0007242: intracellular signaling cascade;   GO:0007166: cell surface receptor linked signal transduction;GO:0007242: intracellular signaling cascade;
X65633         GO:0007166: cell surface receptor linked signal transduction;              GO:0007166: cell surface receptor linked signal transduction;GO:0007601: vision;GO:0006411: protein metabolism and modification;
U77827         GO:0007166: cell surface receptor linked signal transduction;              GO:0007166: cell surface receptor linked signal transduction;
U30185         GO:0007166: cell surface receptor linked signal transduction;              GO:0007166: cell surface receptor linked signal transduction;GO:0007267: cell-cell signaling;GO:0007582: physiological processes;
AF012270       GO:0007166: cell surface receptor linked signal transduction;GO:0007601: vision;   GO:0006259: DNA metabolism;GO:0006366: transcription from Pol II promoter;GO:0007166: cell surface receptor linked signal transduction;GO:0007601: vision;
L42324         GO:0007166: cell surface receptor linked signal transduction;              GO:0000074: cell cycle control;GO:0008283: cell proliferation;GO:0007166: cell surface receptor linked signal transduction;GO:0000278: mitotic cell cycle;
M65085         GO:0007166: cell surface receptor linked signal transduction;              GO:0007166: cell surface receptor linked signal transduction;GO:0007602: phototransduction;GO:0006810: transport;GO:0007601: vision;
X81892         GO:0007166: cell surface receptor linked signal transduction;              GO:0007166: cell surface receptor linked signal transduction;
X51405         GO:0007166: cell surface receptor linked signal transduction;GO:0006411: protein metabolism and modification;GO:0006508: proteolysis and peptidolysis;   GO:0007166: cell surface receptor linked signal transduction;GO:0006508: proteolysis and peptidolysis;GO:0006411: protein metabolism and modification;
AC000099       GO:0007166: cell surface receptor linked signal transduction;GO:0007601: vision;GO:0007267: cell-cell signaling;   GO:0007166: cell surface receptor linked signal transduction;GO:0007267: cell-cell signaling;GO:0007601: vision;
L15388         GO:0007166: cell surface receptor linked signal transduction;              GO:0007166: cell surface receptor linked signal transduction;GO:0007048: oncogenesis;
U64871         GO:0007166: cell surface receptor linked signal transduction;              GO:0007166: cell surface receptor linked signal transduction;
